epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,1155.39,1.50197,0.74661,1.0784,0.92976,0.88858,0.9262,0.53181,1.46772,0.66618,1.06012,0.0067,0.0067,0.0067
107,1183.27,1.46284,0.74153,1.07879,0.92977,0.89536,0.92681,0.53421,1.44792,0.66144,1.05587,0.00657333,0.00657333,0.00657333
108,1211.13,1.46883,0.73964,1.07811,0.93211,0.89503,0.92918,0.53296,1.46339,0.66188,1.05946,0.00644667,0.00644667,0.00644667
109,1239.34,1.47328,0.73061,1.08805,0.93028,0.88855,0.92406,0.53398,1.46565,0.65519,1.05869,0.00632,0.00632,0.00632
110,1267.32,1.46602,0.73113,1.06586,0.93106,0.88557,0.92185,0.53285,1.4581,0.6594,1.05512,0.00619333,0.00619333,0.00619333
111,1295.31,1.44319,0.72426,1.07616,0.92785,0.88606,0.92011,0.52651,1.46878,0.66869,1.05786,0.00606667,0.00606667,0.00606667
112,1323.27,1.4536,0.72084,1.0695,0.93414,0.89061,0.92579,0.53158,1.45434,0.66208,1.05537,0.00594,0.00594,0.00594
113,1351.26,1.4631,0.7349,1.07807,0.93533,0.88703,0.92303,0.5276,1.47283,0.67214,1.0587,0.00581333,0.00581333,0.00581333
114,1379.3,1.44015,0.70404,1.06804,0.93525,0.89592,0.92756,0.53922,1.44059,0.65035,1.05075,0.00568667,0.00568667,0.00568667
115,1407.26,1.44085,0.71569,1.07939,0.93639,0.88936,0.9289,0.53743,1.44987,0.65635,1.05251,0.00556,0.00556,0.00556
116,1435.38,1.45341,0.7274,1.06877,0.93047,0.89344,0.92521,0.53046,1.46954,0.66083,1.05673,0.00543333,0.00543333,0.00543333
117,1463.36,1.44743,0.71846,1.05405,0.93412,0.90055,0.9277,0.53582,1.45285,0.65252,1.05425,0.00530667,0.00530667,0.00530667
118,1491.29,1.46305,0.72457,1.08498,0.93978,0.89552,0.92985,0.54083,1.44186,0.64604,1.05379,0.00518,0.00518,0.00518
119,1519.39,1.45148,0.71651,1.0595,0.93511,0.89975,0.92758,0.53848,1.45149,0.64393,1.05421,0.00505333,0.00505333,0.00505333
120,1547.38,1.4584,0.71283,1.05658,0.93778,0.89932,0.9288,0.53664,1.4566,0.64215,1.05538,0.00492667,0.00492667,0.00492667
121,1575.38,1.45192,0.71496,1.06844,0.93803,0.89586,0.92963,0.53621,1.46201,0.64375,1.05609,0.0048,0.0048,0.0048
122,1603.47,1.43763,0.7027,1.05425,0.94071,0.89277,0.92907,0.53874,1.44343,0.63969,1.05159,0.00467333,0.00467333,0.00467333
123,1631.38,1.40723,0.68739,1.07023,0.93966,0.89428,0.92989,0.54104,1.43035,0.63569,1.05015,0.00454667,0.00454667,0.00454667
124,1659.51,1.43155,0.69567,1.05417,0.93822,0.89469,0.9297,0.53928,1.44598,0.64422,1.05127,0.00442,0.00442,0.00442
125,1687.46,1.41646,0.69862,1.06522,0.9363,0.89582,0.9305,0.53975,1.45511,0.64634,1.05301,0.00429333,0.00429333,0.00429333
126,1715.53,1.41515,0.69796,1.04912,0.93949,0.89452,0.93071,0.54302,1.43587,0.64083,1.04729,0.00416667,0.00416667,0.00416667
127,1743.43,1.42283,0.69627,1.05408,0.9435,0.89466,0.9308,0.54363,1.43243,0.63995,1.04636,0.00404,0.00404,0.00404
128,1771.42,1.43266,0.70289,1.07038,0.93731,0.89699,0.93083,0.54454,1.42219,0.63607,1.04332,0.00391333,0.00391333,0.00391333
129,1799.56,1.41165,0.68467,1.05595,0.94334,0.89816,0.93261,0.54761,1.41648,0.63195,1.04107,0.00378667,0.00378667,0.00378667
130,1827.57,1.42198,0.69443,1.05378,0.93912,0.90197,0.93198,0.54883,1.4067,0.62623,1.0398,0.00366,0.00366,0.00366
131,1855.46,1.41048,0.68313,1.07219,0.94076,0.90311,0.93297,0.54988,1.40819,0.62545,1.03991,0.00353333,0.00353333,0.00353333
132,1883.55,1.41512,0.6892,1.06138,0.94004,0.90291,0.93269,0.54769,1.41558,0.6247,1.04156,0.00340667,0.00340667,0.00340667
133,1911.55,1.41649,0.6879,1.04885,0.94276,0.89801,0.93391,0.55238,1.4074,0.62133,1.0405,0.00328,0.00328,0.00328
134,1939.67,1.43258,0.69851,1.06224,0.93994,0.9003,0.93333,0.55059,1.40891,0.622,1.04159,0.00315333,0.00315333,0.00315333
135,1967.62,1.41412,0.68799,1.06628,0.93985,0.90203,0.9357,0.55262,1.40493,0.622,1.03941,0.00302667,0.00302667,0.00302667
136,1995.68,1.40737,0.68118,1.05114,0.93608,0.90364,0.93397,0.55138,1.4072,0.62412,1.03902,0.0029,0.0029,0.0029
137,2023.68,1.39792,0.67406,1.05403,0.93848,0.90224,0.93353,0.54962,1.40869,0.62457,1.03961,0.00277333,0.00277333,0.00277333
