epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,2460.88,1.75627,1.0235,1.47408,0.91188,0.83595,0.90645,0.50195,1.55623,0.86216,1.40299,0.0121467,0.0121467,0.0121467
64,2507.27,1.76771,1.01058,1.45015,0.9168,0.84751,0.90989,0.51293,1.51901,0.81774,1.37939,0.01202,0.01202,0.01202
65,2553.69,1.74961,0.97728,1.42536,0.90876,0.8426,0.90745,0.50663,1.52878,0.83778,1.37544,0.0118933,0.0118933,0.0118933
66,2599.78,1.74478,0.99774,1.44662,0.91907,0.83512,0.9106,0.50185,1.56983,0.8372,1.39193,0.0117667,0.0117667,0.0117667
67,2646.07,1.73786,0.98866,1.42157,0.91306,0.83686,0.91094,0.50714,1.54999,0.81789,1.38502,0.01164,0.01164,0.01164
68,2692.39,1.72107,0.95773,1.45224,0.92431,0.83985,0.91503,0.5137,1.55082,0.82372,1.38953,0.0115133,0.0115133,0.0115133
69,2738.44,1.72443,0.96249,1.41423,0.90409,0.84014,0.90856,0.50926,1.55233,0.8362,1.38584,0.0113867,0.0113867,0.0113867
70,2784.63,1.72249,0.9833,1.44659,0.92609,0.84508,0.91287,0.51609,1.53885,0.8132,1.37513,0.01126,0.01126,0.01126
71,2831.08,1.71632,0.97104,1.41923,0.91868,0.8552,0.91172,0.50817,1.55816,0.81514,1.3859,0.0111333,0.0111333,0.0111333
72,2877.38,1.7005,0.95089,1.39825,0.92137,0.85896,0.92119,0.52482,1.50766,0.79506,1.36577,0.0110067,0.0110067,0.0110067
73,2923.63,1.72633,0.9584,1.43401,0.92263,0.83933,0.91144,0.51519,1.52145,0.80898,1.37109,0.01088,0.01088,0.01088
74,2969.76,1.70532,0.95978,1.42179,0.92991,0.86025,0.92306,0.52283,1.51592,0.78713,1.36312,0.0107533,0.0107533,0.0107533
75,3016.38,1.72364,0.96599,1.42427,0.91337,0.84786,0.91682,0.51296,1.54097,0.80681,1.37839,0.0106267,0.0106267,0.0106267
76,3062.54,1.69475,0.93332,1.4381,0.91122,0.85598,0.91404,0.5107,1.55016,0.80587,1.38109,0.0105,0.0105,0.0105
77,3109.16,1.70123,0.94943,1.42632,0.93258,0.85762,0.92317,0.52334,1.5246,0.78207,1.36494,0.0103733,0.0103733,0.0103733
78,3155.68,1.70024,0.93339,1.39676,0.92438,0.86371,0.92462,0.52896,1.50886,0.78474,1.36105,0.0102467,0.0102467,0.0102467
79,3202.02,1.72766,0.96709,1.40651,0.93018,0.85574,0.92394,0.53105,1.50388,0.78332,1.35703,0.01012,0.01012,0.01012
80,3248.32,1.68981,0.95716,1.42212,0.92066,0.85556,0.91811,0.52266,1.51534,0.78539,1.35713,0.00999333,0.00999333,0.00999333
81,3295.07,1.70264,0.93993,1.41106,0.91864,0.86688,0.92305,0.52232,1.52897,0.78988,1.36449,0.00986667,0.00986667,0.00986667
82,3340.87,1.69513,0.93115,1.42188,0.93454,0.86508,0.92863,0.51964,1.54656,0.78972,1.37067,0.00974,0.00974,0.00974
83,3387.31,1.67216,0.92272,1.40513,0.92657,0.87065,0.92478,0.53174,1.51416,0.76668,1.35468,0.00961333,0.00961333,0.00961333
84,3433.94,1.7115,0.93692,1.40682,0.93143,0.85894,0.92513,0.53004,1.52028,0.7843,1.35542,0.00948667,0.00948667,0.00948667
85,3480.8,1.68993,0.92584,1.4003,0.93358,0.85698,0.92349,0.52778,1.52033,0.7824,1.35897,0.00936,0.00936,0.00936
86,3527.05,1.66573,0.91567,1.40345,0.93453,0.86376,0.92677,0.53096,1.50466,0.77223,1.35118,0.00923333,0.00923333,0.00923333
87,3573.28,1.68569,0.92151,1.41833,0.92969,0.86924,0.92709,0.53129,1.50971,0.75378,1.34849,0.00910667,0.00910667,0.00910667
88,3619.67,1.6968,0.92236,1.39113,0.92697,0.86084,0.92526,0.52991,1.52168,0.77675,1.35871,0.00898,0.00898,0.00898
89,3666.35,1.68633,0.9185,1.3907,0.9294,0.86957,0.92905,0.53473,1.49546,0.7639,1.34225,0.00885333,0.00885333,0.00885333
90,3712.72,1.66745,0.92816,1.40234,0.9321,0.86478,0.92469,0.53513,1.49182,0.76981,1.34505,0.00872667,0.00872667,0.00872667
91,3759.02,1.68769,0.91215,1.39715,0.92341,0.86865,0.92529,0.53573,1.48368,0.7607,1.33804,0.0086,0.0086,0.0086
92,3804.96,1.67004,0.90361,1.39892,0.92973,0.86276,0.92775,0.53972,1.49442,0.75274,1.34146,0.00847333,0.00847333,0.00847333
93,3851.25,1.66079,0.88265,1.38919,0.93385,0.86756,0.92746,0.54123,1.47451,0.75495,1.33178,0.00834667,0.00834667,0.00834667
94,3897.64,1.66852,0.90792,1.38964,0.92915,0.86753,0.92761,0.53786,1.48571,0.74829,1.33306,0.00822,0.00822,0.00822
95,3944.43,1.65755,0.90055,1.37293,0.92903,0.87789,0.93233,0.54296,1.48061,0.74627,1.33099,0.00809333,0.00809333,0.00809333
96,3990.83,1.64436,0.894,1.38119,0.92468,0.87485,0.93168,0.5438,1.4891,0.73675,1.3387,0.00796667,0.00796667,0.00796667
97,4037.74,1.66776,0.88107,1.3702,0.92992,0.87783,0.93066,0.54399,1.47578,0.74627,1.33107,0.00784,0.00784,0.00784
98,4083.71,1.64067,0.87233,1.36968,0.932,0.86479,0.93057,0.54902,1.47744,0.73053,1.32927,0.00771333,0.00771333,0.00771333
99,4130.18,1.66698,0.88082,1.38274,0.93403,0.88257,0.93334,0.54664,1.48295,0.73288,1.33006,0.00758667,0.00758667,0.00758667
100,4176.41,1.65236,0.88539,1.3823,0.9341,0.87792,0.93449,0.54687,1.4857,0.73729,1.3334,0.00746,0.00746,0.00746
101,4222.81,1.63476,0.87278,1.38371,0.93809,0.87151,0.93388,0.5436,1.4848,0.74192,1.33048,0.00733333,0.00733333,0.00733333
102,4269.15,1.62517,0.87433,1.3742,0.93264,0.88139,0.93496,0.54432,1.47868,0.73542,1.3295,0.00720667,0.00720667,0.00720667
103,4315.68,1.64201,0.86457,1.35851,0.93126,0.88035,0.93578,0.5499,1.4695,0.7166,1.32485,0.00708,0.00708,0.00708
104,4362.23,1.63492,0.86645,1.37079,0.93876,0.88095,0.93565,0.55281,1.46557,0.71955,1.32073,0.00695333,0.00695333,0.00695333
105,4408.33,1.63359,0.87296,1.36133,0.93343,0.88133,0.93475,0.55126,1.47057,0.72309,1.32194,0.00682667,0.00682667,0.00682667
106,4454.56,1.62668,0.87132,1.36208,0.9356,0.87263,0.93568,0.54757,1.48309,0.72814,1.32736,0.0067,0.0067,0.0067
107,4501.15,1.64118,0.85709,1.35934,0.93427,0.8812,0.93617,0.5464,1.48485,0.73049,1.32783,0.00657333,0.00657333,0.00657333
108,4547.51,1.63761,0.86023,1.35129,0.9359,0.88763,0.93897,0.55218,1.47024,0.72092,1.3215,0.00644667,0.00644667,0.00644667
109,4593.59,1.61826,0.86299,1.36509,0.9358,0.88498,0.93814,0.55317,1.46808,0.70574,1.32202,0.00632,0.00632,0.00632
110,4639.66,1.62365,0.86194,1.36164,0.93664,0.88188,0.93524,0.55403,1.45556,0.71154,1.31756,0.00619333,0.00619333,0.00619333
111,4686.22,1.61823,0.85421,1.35241,0.93555,0.88062,0.93805,0.55456,1.46566,0.709,1.31937,0.00606667,0.00606667,0.00606667
112,4732.62,1.61859,0.84519,1.37225,0.92515,0.88538,0.93408,0.55102,1.47239,0.71222,1.32241,0.00594,0.00594,0.00594
113,4779.04,1.61054,0.84401,1.35612,0.92587,0.88222,0.93481,0.54997,1.46458,0.71158,1.32113,0.00581333,0.00581333,0.00581333
114,4825.45,1.61809,0.84549,1.36324,0.93211,0.88291,0.93941,0.55327,1.46566,0.70931,1.31857,0.00568667,0.00568667,0.00568667
