epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1092.7,1.624,0.8653,1.13077,0.91099,0.85256,0.88607,0.47574,1.54059,0.78977,1.0991,0.0129067,0.0129067,0.0129067
58,1121.09,1.59761,0.86095,1.12748,0.91668,0.84744,0.8894,0.49217,1.52493,0.76124,1.09578,0.01278,0.01278,0.01278
59,1149.36,1.61307,0.85623,1.13179,0.8996,0.83058,0.87168,0.46092,1.61271,0.84724,1.11592,0.0126533,0.0126533,0.0126533
60,1177.76,1.63532,0.86773,1.13077,0.91596,0.86556,0.89811,0.48869,1.52846,0.78307,1.09471,0.0125267,0.0125267,0.0125267
61,1205.96,1.59415,0.86233,1.12999,0.91671,0.85209,0.89485,0.48691,1.53376,0.78816,1.09789,0.0124,0.0124,0.0124
62,1234.16,1.57914,0.84291,1.12174,0.92143,0.84816,0.89058,0.4961,1.52126,0.81471,1.09239,0.0122733,0.0122733,0.0122733
63,1262.48,1.59722,0.83857,1.14008,0.92418,0.85378,0.89665,0.49038,1.53156,0.7539,1.09014,0.0121467,0.0121467,0.0121467
64,1290.71,1.59444,0.83313,1.11338,0.91834,0.85301,0.89965,0.49472,1.5355,0.75569,1.08882,0.01202,0.01202,0.01202
65,1318.99,1.56716,0.82808,1.12212,0.92114,0.85759,0.90393,0.50201,1.5177,0.73234,1.08667,0.0118933,0.0118933,0.0118933
66,1347.22,1.58724,0.83951,1.11919,0.91672,0.8531,0.88971,0.48598,1.55591,0.76967,1.09616,0.0117667,0.0117667,0.0117667
67,1375.31,1.59063,0.8366,1.1273,0.92007,0.86132,0.89676,0.49479,1.53158,0.7341,1.08932,0.01164,0.01164,0.01164
68,1403.5,1.56853,0.81037,1.11723,0.91868,0.86549,0.89886,0.49489,1.53284,0.73406,1.08396,0.0115133,0.0115133,0.0115133
69,1431.71,1.55423,0.81509,1.12309,0.91657,0.86412,0.89942,0.50083,1.50365,0.74837,1.08238,0.0113867,0.0113867,0.0113867
70,1460.09,1.56905,0.82749,1.11486,0.90565,0.86517,0.89581,0.4916,1.5568,0.77,1.09973,0.01126,0.01126,0.01126
71,1488.38,1.57396,0.82326,1.10064,0.92656,0.8675,0.91172,0.51179,1.48277,0.70792,1.07687,0.0111333,0.0111333,0.0111333
72,1516.58,1.57528,0.8257,1.12774,0.93365,0.8676,0.90943,0.51129,1.48567,0.72316,1.07995,0.0110067,0.0110067,0.0110067
73,1544.97,1.58009,0.81587,1.10754,0.92509,0.87212,0.91001,0.4989,1.51633,0.73113,1.08561,0.01088,0.01088,0.01088
74,1573.23,1.59011,0.81217,1.10443,0.93046,0.86707,0.90741,0.50862,1.49597,0.70778,1.0837,0.0107533,0.0107533,0.0107533
75,1601.46,1.57505,0.82083,1.11561,0.92272,0.87308,0.90728,0.50506,1.51543,0.71458,1.07919,0.0106267,0.0106267,0.0106267
76,1629.66,1.55974,0.80194,1.09641,0.9224,0.87374,0.91165,0.49567,1.52435,0.71783,1.07928,0.0105,0.0105,0.0105
77,1657.81,1.52631,0.78126,1.11855,0.92215,0.86586,0.90169,0.4982,1.51095,0.71982,1.08302,0.0103733,0.0103733,0.0103733
78,1686.03,1.54971,0.79027,1.09579,0.91385,0.86993,0.91012,0.50688,1.49313,0.71452,1.07392,0.0102467,0.0102467,0.0102467
79,1714.2,1.54042,0.79693,1.11269,0.92138,0.86833,0.90171,0.51003,1.47995,0.69616,1.07028,0.01012,0.01012,0.01012
80,1742.48,1.53144,0.79291,1.09425,0.92515,0.88195,0.91443,0.51094,1.49851,0.70239,1.07665,0.00999333,0.00999333,0.00999333
81,1770.72,1.53468,0.79324,1.09287,0.92368,0.87909,0.91344,0.51933,1.45885,0.6923,1.06622,0.00986667,0.00986667,0.00986667
82,1798.89,1.55365,0.79729,1.11657,0.92237,0.87286,0.90952,0.50467,1.51652,0.72021,1.07748,0.00974,0.00974,0.00974
83,1827.21,1.53405,0.77992,1.09819,0.93258,0.88039,0.92077,0.52484,1.46673,0.69799,1.06804,0.00961333,0.00961333,0.00961333
84,1855.48,1.54429,0.79571,1.09742,0.92436,0.8739,0.9129,0.51374,1.47866,0.70139,1.07431,0.00948667,0.00948667,0.00948667
85,1883.74,1.51777,0.77027,1.11359,0.93019,0.87243,0.91189,0.51797,1.47323,0.68913,1.07103,0.00936,0.00936,0.00936
86,1912.04,1.5321,0.78344,1.10502,0.92744,0.88394,0.91251,0.5187,1.47461,0.67872,1.07335,0.00923333,0.00923333,0.00923333
87,1940.33,1.52956,0.78585,1.089,0.92692,0.88015,0.91995,0.52689,1.44986,0.66884,1.06242,0.00910667,0.00910667,0.00910667
88,1968.63,1.55516,0.79838,1.10759,0.92322,0.88282,0.91668,0.51796,1.46242,0.69401,1.06511,0.00898,0.00898,0.00898
89,1996.87,1.5255,0.78237,1.11022,0.92953,0.88018,0.91974,0.52345,1.46092,0.6808,1.0645,0.00885333,0.00885333,0.00885333
90,2025.26,1.52114,0.77222,1.09449,0.92771,0.88482,0.91769,0.52995,1.43961,0.67879,1.06435,0.00872667,0.00872667,0.00872667
91,2053.35,1.51844,0.77062,1.0996,0.9349,0.88074,0.91626,0.52107,1.47131,0.68253,1.06763,0.0086,0.0086,0.0086
92,2081.62,1.50178,0.77003,1.09318,0.93506,0.87834,0.91781,0.52778,1.45944,0.67749,1.06783,0.00847333,0.00847333,0.00847333
93,2109.9,1.53307,0.7696,1.10159,0.93478,0.88429,0.91906,0.52856,1.44487,0.66734,1.06161,0.00834667,0.00834667,0.00834667
94,2138.19,1.52157,0.76383,1.0937,0.93076,0.88655,0.92104,0.53135,1.44224,0.67125,1.05914,0.00822,0.00822,0.00822
95,2166.43,1.48189,0.75561,1.09003,0.92764,0.8832,0.91719,0.53056,1.45695,0.67412,1.05954,0.00809333,0.00809333,0.00809333
96,2194.56,1.50176,0.75863,1.09177,0.92333,0.8846,0.92163,0.52961,1.46518,0.67214,1.0637,0.00796667,0.00796667,0.00796667
97,2222.78,1.50389,0.7512,1.08133,0.93701,0.88578,0.92584,0.53388,1.44636,0.66971,1.05959,0.00784,0.00784,0.00784
98,2251.1,1.52117,0.75933,1.09807,0.92671,0.88266,0.91976,0.52731,1.4489,0.67333,1.05828,0.00771333,0.00771333,0.00771333
99,2279.23,1.50507,0.75755,1.09387,0.93682,0.87848,0.9212,0.52667,1.46948,0.67444,1.06109,0.00758667,0.00758667,0.00758667
100,2307.52,1.5089,0.75617,1.08006,0.94052,0.8902,0.92583,0.53739,1.4166,0.65447,1.05096,0.00746,0.00746,0.00746
101,2335.69,1.47058,0.74475,1.08908,0.93316,0.89265,0.92425,0.53453,1.43415,0.66209,1.0564,0.00733333,0.00733333,0.00733333
102,2363.89,1.4703,0.72795,1.07523,0.93468,0.89201,0.92572,0.53573,1.43256,0.66014,1.05535,0.00720667,0.00720667,0.00720667
103,2392.17,1.49809,0.75024,1.09068,0.94022,0.89574,0.92658,0.53214,1.42886,0.66084,1.05248,0.00708,0.00708,0.00708
104,2420.46,1.48946,0.75278,1.07807,0.93958,0.88723,0.92615,0.53745,1.42328,0.65775,1.04959,0.00695333,0.00695333,0.00695333
105,2448.66,1.46333,0.74016,1.07635,0.93554,0.88938,0.92556,0.53685,1.43886,0.65644,1.05371,0.00682667,0.00682667,0.00682667
106,2477.1,1.49318,0.72781,1.06625,0.93495,0.88373,0.92223,0.54133,1.4258,0.66407,1.05012,0.0067,0.0067,0.0067
107,2505.3,1.46208,0.72624,1.06847,0.93463,0.88531,0.92452,0.5397,1.44056,0.65321,1.05127,0.00657333,0.00657333,0.00657333
108,2533.53,1.46935,0.72302,1.07238,0.93567,0.88863,0.9265,0.54404,1.43092,0.651,1.05003,0.00644667,0.00644667,0.00644667
109,2561.81,1.47623,0.73964,1.07628,0.94157,0.89081,0.92951,0.5465,1.41937,0.64542,1.04945,0.00632,0.00632,0.00632
110,2590.02,1.44294,0.7176,1.07478,0.93949,0.89417,0.9277,0.54205,1.43086,0.65144,1.0499,0.00619333,0.00619333,0.00619333
111,2618.3,1.44074,0.71761,1.06518,0.94156,0.89928,0.9304,0.54318,1.41465,0.64613,1.04288,0.00606667,0.00606667,0.00606667
112,2646.62,1.46921,0.71848,1.06408,0.93398,0.8964,0.92805,0.54112,1.42685,0.64799,1.04715,0.00594,0.00594,0.00594
113,2674.89,1.45082,0.72011,1.06712,0.93923,0.89922,0.93181,0.54609,1.41603,0.63795,1.04575,0.00581333,0.00581333,0.00581333
114,2703.2,1.46624,0.72466,1.06513,0.9371,0.89898,0.93244,0.54591,1.41611,0.64001,1.04396,0.00568667,0.00568667,0.00568667
115,2731.41,1.45868,0.72186,1.0759,0.93766,0.89814,0.9324,0.5502,1.40588,0.633,1.04178,0.00556,0.00556,0.00556
116,2759.72,1.4601,0.7168,1.06344,0.94213,0.89134,0.93125,0.54733,1.41,0.63914,1.04265,0.00543333,0.00543333,0.00543333
117,2788.03,1.46031,0.71679,1.0667,0.9436,0.89401,0.93336,0.55125,1.40413,0.6377,1.04015,0.00530667,0.00530667,0.00530667
118,2816.24,1.4352,0.70903,1.066,0.93878,0.90134,0.93007,0.55098,1.40808,0.63469,1.0423,0.00518,0.00518,0.00518
119,2844.4,1.43774,0.70475,1.06288,0.93651,0.89864,0.93082,0.54554,1.41725,0.63592,1.04584,0.00505333,0.00505333,0.00505333
120,2872.84,1.42578,0.70188,1.05451,0.94073,0.90207,0.93272,0.55366,1.39697,0.62366,1.04075,0.00492667,0.00492667,0.00492667
121,2900.98,1.44595,0.70126,1.07545,0.93834,0.90079,0.93221,0.55229,1.39934,0.62614,1.03948,0.0048,0.0048,0.0048
122,2929.36,1.43244,0.70349,1.06281,0.93216,0.89945,0.93098,0.54765,1.41201,0.63043,1.04355,0.00467333,0.00467333,0.00467333
123,2957.61,1.43884,0.70246,1.06906,0.92936,0.90012,0.92969,0.54218,1.41497,0.63625,1.04408,0.00454667,0.00454667,0.00454667
124,2985.84,1.40549,0.685,1.06422,0.93395,0.90296,0.93424,0.54978,1.40189,0.62689,1.04051,0.00442,0.00442,0.00442
125,3014.24,1.43539,0.6996,1.06234,0.9343,0.90162,0.9327,0.55084,1.40227,0.62317,1.0419,0.00429333,0.00429333,0.00429333
126,3042.43,1.42354,0.70833,1.06089,0.93556,0.90297,0.934,0.55168,1.39722,0.62124,1.03929,0.00416667,0.00416667,0.00416667
127,3070.6,1.41993,0.69587,1.05572,0.9362,0.89912,0.93179,0.54799,1.40754,0.62412,1.04077,0.00404,0.00404,0.00404
128,3098.81,1.40113,0.68379,1.06962,0.93703,0.90347,0.93461,0.55156,1.39774,0.6175,1.03828,0.00391333,0.00391333,0.00391333
129,3126.98,1.41277,0.67871,1.05933,0.94111,0.90373,0.9347,0.55301,1.39747,0.61676,1.03807,0.00378667,0.00378667,0.00378667
130,3155.23,1.4229,0.68406,1.05638,0.9409,0.90053,0.93335,0.55164,1.40802,0.62123,1.03967,0.00366,0.00366,0.00366
131,3183.47,1.41112,0.68568,1.04834,0.9412,0.90632,0.93497,0.55391,1.39903,0.61744,1.03828,0.00353333,0.00353333,0.00353333
132,3211.8,1.39071,0.67591,1.05025,0.93928,0.90427,0.9336,0.55283,1.40085,0.61901,1.03854,0.00340667,0.00340667,0.00340667
133,3240.17,1.40577,0.67965,1.04447,0.94247,0.90625,0.93495,0.55421,1.39637,0.61544,1.03738,0.00328,0.00328,0.00328
134,3268.35,1.40376,0.68125,1.05719,0.94184,0.90279,0.93347,0.55486,1.40189,0.61688,1.03714,0.00315333,0.00315333,0.00315333
135,3296.74,1.41261,0.67754,1.05402,0.9419,0.90671,0.93414,0.5565,1.39526,0.61547,1.0358,0.00302667,0.00302667,0.00302667
136,3324.93,1.38714,0.67302,1.04884,0.94525,0.90381,0.9336,0.55702,1.39413,0.61799,1.03494,0.0029,0.0029,0.0029
137,3353.12,1.40557,0.66974,1.05214,0.942,0.90258,0.93399,0.55817,1.39534,0.61433,1.03501,0.00277333,0.00277333,0.00277333
138,3381.47,1.40945,0.68308,1.05265,0.94189,0.90148,0.93464,0.55749,1.39336,0.61396,1.03428,0.00264667,0.00264667,0.00264667
139,3409.71,1.3771,0.67355,1.03961,0.9445,0.90234,0.93632,0.55804,1.39116,0.61167,1.03348,0.00252,0.00252,0.00252
140,3437.8,1.38912,0.66294,1.04629,0.94391,0.90259,0.93517,0.55823,1.3915,0.61148,1.03439,0.00239333,0.00239333,0.00239333
141,3469.26,1.31002,0.58223,1.05195,0.94239,0.90645,0.93981,0.56051,1.3837,0.60821,1.03349,0.00226667,0.00226667,0.00226667
142,3497.23,1.32521,0.58423,1.05135,0.94262,0.90982,0.94004,0.56187,1.38256,0.608,1.03337,0.00214,0.00214,0.00214
143,3525.31,1.28732,0.57656,1.03884,0.94561,0.90956,0.94144,0.56442,1.37522,0.60442,1.03105,0.00201333,0.00201333,0.00201333
144,3553.3,1.29601,0.57363,1.04226,0.94708,0.90837,0.94221,0.5673,1.37258,0.60434,1.0309,0.00188667,0.00188667,0.00188667
145,3581.19,1.31663,0.58109,1.06195,0.94661,0.9091,0.94218,0.56689,1.37494,0.6047,1.03209,0.00176,0.00176,0.00176
146,3609.21,1.27603,0.56514,1.04417,0.94537,0.91032,0.94133,0.56572,1.37555,0.60318,1.0323,0.00163333,0.00163333,0.00163333
147,3637.11,1.30019,0.57095,1.04039,0.94583,0.90991,0.94135,0.56535,1.37628,0.60248,1.03194,0.00150667,0.00150667,0.00150667
148,3665.14,1.28276,0.56762,1.04286,0.94593,0.90978,0.94247,0.56783,1.37228,0.60038,1.0309,0.00138,0.00138,0.00138
149,3693.12,1.28681,0.56983,1.04288,0.94449,0.91338,0.94234,0.56769,1.37045,0.59951,1.02975,0.00125333,0.00125333,0.00125333
150,3720.93,1.27138,0.55458,1.0421,0.94664,0.91338,0.9435,0.56792,1.37082,0.59947,1.02919,0.00112667,0.00112667,0.00112667
