epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,6058.5,1.51376,0.84449,1.32326,0.91648,0.87835,0.93121,0.54524,1.42503,0.72009,1.30223,0.01012,0.01012,0.01012
106,6133.76,1.54615,0.86895,1.32917,0.91995,0.88046,0.93165,0.54509,1.40976,0.7349,1.29444,0.010025,0.010025,0.010025
107,6205.55,1.52954,0.85929,1.32062,0.92828,0.88059,0.93708,0.54062,1.42974,0.72518,1.30311,0.00993,0.00993,0.00993
108,6277.33,1.53183,0.85949,1.33223,0.92407,0.87439,0.93299,0.54121,1.44485,0.73226,1.31163,0.009835,0.009835,0.009835
109,6349.66,1.51393,0.85111,1.33067,0.92733,0.886,0.93645,0.55009,1.4097,0.72245,1.29177,0.00974,0.00974,0.00974
110,6420.89,1.51909,0.84367,1.33112,0.93073,0.88366,0.93748,0.54486,1.41166,0.7248,1.29328,0.009645,0.009645,0.009645
111,6493.73,1.52261,0.85024,1.32336,0.92576,0.8862,0.93505,0.54189,1.41765,0.72885,1.29604,0.00955,0.00955,0.00955
112,6577.85,1.52715,0.84811,1.31052,0.92284,0.88358,0.93528,0.54276,1.42111,0.7423,1.29809,0.009455,0.009455,0.009455
113,6648.35,1.51665,0.84654,1.31821,0.92346,0.88135,0.93708,0.54608,1.40764,0.73162,1.28743,0.00936,0.00936,0.00936
114,6722.47,1.52513,0.83457,1.31981,0.92877,0.88755,0.93748,0.55057,1.40117,0.70066,1.28338,0.009265,0.009265,0.009265
115,6793.83,1.52512,0.85183,1.33136,0.92237,0.88192,0.93399,0.54832,1.40891,0.71033,1.28992,0.00917,0.00917,0.00917
116,6868.06,1.53864,0.85048,1.32905,0.92749,0.88535,0.93821,0.55228,1.40807,0.71571,1.29115,0.009075,0.009075,0.009075
117,6939.51,1.50558,0.83213,1.32372,0.92551,0.88231,0.93743,0.55115,1.41808,0.71941,1.29523,0.00898,0.00898,0.00898
118,7019.46,1.52908,0.83662,1.31618,0.93206,0.87817,0.93687,0.5523,1.41339,0.70395,1.29162,0.008885,0.008885,0.008885
